Index,Share,Report_Date
471,TRGYO,2023-03-10 00:00:00
472,TRGYO,2023-03-10 00:00:00
473,TLMAN,2023-03-15 00:00:00
474,TSPOR,2023-01-26 00:00:00
475,TDGYO,2023-02-11 00:00:00
476,TSGYO,2023-01-30 00:00:00
477,TUCLK,2023-02-23 00:00:00
478,TUKAS,2023-03-08 00:00:00
479,TRCAS,2023-03-01 00:00:00
480,TUREX,2023-03-13 00:00:00
481,TRILC,2023-02-10 00:00:00
482,TCELL,2023-03-09 00:00:00
483,TMSN,2023-03-13 00:00:00
484,TUPRS,2023-02-08 00:00:00
485,THYAO,2023-03-01 00:00:00
486,PRKAB,2023-02-21 00:00:00
487,TTKOM,2023-02-22 00:00:00
488,TTRAK,2023-02-06 00:00:00
489,TURGG,2023-02-28 00:00:00
490,TURSG,2023-02-16 00:00:00
491,TURSG,2023-02-16 00:00:00
492,UFUK,2023-03-01 00:00:00
493,ULAS,2023-02-10 00:00:00
494,ULUFA,2023-02-28 00:00:00
495,ULUSE,2023-03-14 00:00:00
496,ULUUN,2023-03-10 00:00:00
497,UMPAS,2023-03-13 00:00:00
498,USAK,2023-02-28 00:00:00
499,UZERB,2023-02-15 00:00:00
500,ULKER,2023-03-10 00:00:00
501,UNLU,2023-03-08 00:00:00
502,VAKFN,2023-02-10 00:00:00
503,VKGYO,2023-02-21 00:00:00
504,VAKVK,2023-02-16 00:00:00
505,VKFYO,2023-02-14 00:00:00
506,VAKBN,2023-02-14 00:00:00
507,VAKBN,2023-02-28 00:00:00
508,VAKKO,2023-03-07 00:00:00
509,VANGD,2023-02-17 00:00:00
510,VBTYZ,2023-03-07 00:00:00
511,VERUS,2023-03-13 00:00:00
512,VERTU,2023-03-01 00:00:00
513,VESTL,2023-03-10 00:00:00
514,VESBE,2023-02-17 00:00:00
515,VKING,2023-03-02 00:00:00
516,YKBNK,2023-02-02 00:00:00
517,YKBNK,2023-02-02 00:00:00
518,YAPRK,2023-03-13 00:00:00
519,YATAS,2023-03-13 00:00:00
520,YAYLA,2023-03-01 00:00:00
521,YYLGD,2023-02-27 00:00:00
522,YGGYO,2023-02-22 00:00:00
523,YGGYO,2023-02-22 00:00:00
524,YGYO,2023-03-13 00:00:00
525,YGYO,2023-03-13 00:00:00
526,YYAPI,2023-03-13 00:00:00
527,YESIL,2023-02-28 00:00:00
528,YEOTK,2023-03-03 00:00:00
529,YBTAS,2023-02-24 00:00:00
530,YONGA,2023-03-13 00:00:00
531,YKSLN,2023-02-28 00:00:00
532,YUNSA,2023-02-23 00:00:00
533,ZEDUR,2023-03-03 00:00:00
534,ZRGYO,2023-02-14 00:00:00
535,ZRGYO,2023-02-14 00:00:00
536,ZOREN,2023-03-08 00:00:00
537,ALBTS,2023-02-02 00:00:00
539,ALONE,2023-02-02 00:00:00
