,Stock,Sector
286,KORDS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
287,KRPLS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
288,KOZAL,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ
289,KOZAA,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ
290,KOPOL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
291,KRGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
292,KRSTL,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
293,KRONT,TEKNOLOJİ / BİLİŞİM
294,KSTUR,OTELLER VE LOKANTALAR / KONAKLAMA
295,KUVVA,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
296,KUYAS,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
297,KUTPO,İMALAT / TAŞ VE TOPRAĞA DAYALI
298,KTSKR,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
299,LIDER,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ
300,LIDFA,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
301,LINK,TEKNOLOJİ / BİLİŞİM
302,LOGO,TEKNOLOJİ / BİLİŞİM
